                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     58,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     59,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     60,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     61,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     62,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     63,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     64,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     65,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     66,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     67,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     68,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     69,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     70,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     71,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     72,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     73,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     74,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     75,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     76,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     77,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     78,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     79,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     80,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     81,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     82,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     83,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     84,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                     85,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     86,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     87,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     88,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     89,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     90,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     91,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     92,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     93,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     94,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     95,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     96,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     97,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               3.98e-05,               3.98e-05,               3.98e-05
